"Name","Live Bytes","Live Objects"
"java.util.WeakHashMap$Entry[]","16,528 B (0%)","191 (0%)"
"javax.management.ImmutableDescriptor","4,536 B (0%)","189 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$SetCcl","3,008 B (0%)","188 (0%)"
"java.util.WeakHashMap","8,976 B (0%)","187 (0%)"
"ch.qos.logback.classic.Logger","8,928 B (0%)","186 (0%)"
"java.lang.Package","10,192 B (0%)","182 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_L","5,760 B (0%)","180 (0%)"
"sun.reflect.DelegatingConstructorAccessorImpl","2,848 B (0%)","178 (0%)"
"sun.reflect.NativeConstructorAccessorImpl","4,248 B (0%)","177 (0%)"
"java.io.ExpiringCache$Entry","4,248 B (0%)","177 (0%)"
"java.util.LinkedHashMap","9,800 B (0%)","175 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction","3,984 B (0%)","166 (0%)"
"java.security.AccessControlContext","6,280 B (0%)","157 (0%)"
"java.lang.ref.SoftReference[]","9,360 B (0%)","156 (0%)"
"javassist.bytecode.StringInfo","3,744 B (0%)","156 (0%)"
"java.util.ArrayDeque","3,696 B (0%)","154 (0%)"
"java.util.zip.ZipCoder","4,928 B (0%)","154 (0%)"
"sun.misc.URLClassPath$JarLoader","7,344 B (0%)","153 (0%)"
"java.lang.Class$AnnotationData","3,432 B (0%)","143 (0%)"
"java.util.jar.JarFile","8,960 B (0%)","140 (0%)"
"java.lang.reflect.Method[]","8,288 B (0%)","138 (0%)"
"com.sun.jmx.mbeanserver.MXBeanMapping[]","2,536 B (0%)","135 (0%)"
"java.security.Permissions","4,256 B (0%)","133 (0%)"
"com.sun.jmx.mbeanserver.ConvertingMethod","4,096 B (0%)","128 (0%)"
"java.lang.Character","2,048 B (0%)","128 (0%)"
"javassist.bytecode.InterfaceMethodrefInfo","2,928 B (0%)","122 (0%)"
"javassist.bytecode.FieldrefInfo","2,928 B (0%)","122 (0%)"
